datetime,uniswap_amount_in_top_holders,aave_amount_in_top_holders,lido-dao_amount_in_top_holders,frax-share_amount_in_top_holders,dydx_amount_in_top_holders,balancer_amount_in_top_holders,chainlink_amount_in_top_holders,dai_amount_in_top_holders,ondo-finance_amount_in_top_holders,maker_amount_in_top_holders,injective-protocol_amount_in_top_holders,dexe_amount_in_top_holders,raydium_amount_in_top_holders,pendle_amount_in_top_holders,telcoin_amount_in_top_holders,olympus_amount_in_top_holders,frax_amount_in_top_holders,1inch_amount_in_top_holders,convex-finance_amount_in_top_holders,0x_amount_in_top_holders,stargate-finance_amount_in_top_holders,yearn-finance_amount_in_top_holders,lcx_amount_in_top_holders,band-protocol_amount_in_top_holders,sushi_amount_in_top_holders,cow-protocol_amount_in_top_holders,loopring_amount_in_top_holders,clearpool_amount_in_top_holders,uma_amount_in_top_holders,orbs_amount_in_top_holders,api3_amount_in_top_holders,rocket-pool_amount_in_top_holders,compound-ether_amount_in_top_holders,marlin_amount_in_top_holders,tellor_amount_in_top_holders,numeraire_amount_in_top_holders,liquity_amount_in_top_holders,dia-data_amount_in_top_holders,oraichain-token_amount_in_top_holders,magic-internet-money_amount_in_top_holders,coin98_amount_in_top_holders,bancor_amount_in_top_holders,dodo_amount_in_top_holders,keep-network_amount_in_top_holders,liquity-usd_amount_in_top_holders,smardex_amount_in_top_holders,kujira_amount_in_top_holders,ampleforth_amount_in_top_holders,compound-usd-coin_amount_in_top_holders,hashflow_amount_in_top_holders,stafi_amount_in_top_holders,degate_amount_in_top_holders,hegic_amount_in_top_holders,insure_amount_in_top_holders,unizen_amount_in_top_holders,bella-protocol_amount_in_top_holders,wrapped-nxm_amount_in_top_holders,whiteheart_amount_in_top_holders,melon_amount_in_top_holders,paraswap_amount_in_top_holders,polkastarter_amount_in_top_holders,perpetual-protocol_amount_in_top_holders,badger-dao_amount_in_top_holders,alchemix_amount_in_top_holders,harvest-finance_amount_in_top_holders,lever_amount_in_top_holders,seth_amount_in_top_holders,stake-dao_amount_in_top_holders,quickswap_amount_in_top_holders,inverse-finance_amount_in_top_holders,tokemak_amount_in_top_holders,ribbon-finance_amount_in_top_holders,ramp_amount_in_top_holders,cryptex-finance_amount_in_top_holders,kryll_amount_in_top_holders,airswap_amount_in_top_holders,orion-protocol_amount_in_top_holders,aura-finance_amount_in_top_holders
2023-05-07 00:00:00+00:00,526074169.2576277,9219577.984063745,500871531.0580772,76621456.62640113,626742416.9594939,43169491.72060277,320000000.0,1609098.11373276,9721653576.465117,485442.2026125077,88961223.04220217,35505707.29859869,10882237.070881,128879688.9322856,80086652441.35,26681281.30846343,879831535.315461,718802434.9266114,88075673.11436139,470695932.75999326,821346453.0382719,14402.73139769512,259764154.7038908,85464801.69725564,134280320.01983917,943513734.0808848,582631645.7022327,825423202.7004678,89295998.73705396,9529775040.237371,100958833.23807742,30927560.55417034,7631001.471211621,6689382952.86884,3.402823669209383e+20,9934404.654424006,85264110.84683363,158273027.73545066,85234179.6052779,132571934.34462053,198971848.44694948,101687507.24999774,878801999.8309379,886790410.2614604,210863472.43075323,9584241778.971884,1.1579208923731621e+71,55185868.560945295,7963908075.312479,954007519.0967532,31083107.84156453,938610853.2486644,2764391270.336254,85647209738.60692,912411680.41,93242053.983222,1248710.1420564349,7823.436704986919,1075170.1403625235,1469684009.8229752,67168508.03697307,118274407.7784577,13917959.230299763,1920832.782167525,464826.6983976202,33310195190.388645,16866.550986352348,47328725.67935825,970697.7752938552,257512.9935230731,96499844.20286047,778080254.8952847,978118254.5244536,7945092.675784918,23042799.583631378,435528917.0947,112714814.42468596,54278795.867422365
2023-05-08 00:00:00+00:00,526072569.2576277,9227462.26891932,500213031.0580772,76222950.11951412,626738370.5584419,43296043.20723983,320000000.0,1609098.11373276,9721600867.374205,485713.7807006893,88931331.06508774,35503609.65859869,10882237.070881,128837723.46807525,80086652441.35,26663217.519115858,882201965.5051126,718810088.7433059,88209095.04189847,470647526.7210061,823794504.2845391,14477.580833497246,259741412.86330056,85391427.24409795,133963139.3030407,943552127.9499176,583487111.0826601,826023202.7004678,89551074.93036209,9528100355.38148,100982685.17590123,30933966.909838237,7630289.43020892,6689065084.012059,3.402823669209383e+20,9933851.756378287,85682292.17360012,158333067.32061654,85229222.10600545,132592112.8806302,198860737.33694953,102111422.26525146,878801999.8309379,886790410.2614604,212828865.7151353,9561971693.644842,1.1579208923731621e+71,55185868.560945295,7966519507.681085,954571295.9434432,31104027.392215375,930846843.6013768,2763093209.0333233,85647229738.60692,912411680.41,93242053.983222,1248899.5446530648,7823.436704986919,1074759.4403625238,1469850225.873423,67343256.19059974,117697461.01421411,13915986.02969024,1926113.959127447,465194.7318448102,33206989518.840645,16866.488770606167,47198620.951024234,972095.1809915853,257440.994431126,96465699.59717958,778083358.8952847,978107055.3296738,7945092.675784918,23042799.583631378,435502590.9385,112680340.70882908,54291119.14115903
2023-05-09 00:00:00+00:00,526071769.2576277,9232654.73546927,508213031.0580772,76233955.64976893,626736687.3385841,43302320.883455865,320000000.0,1609098.11373276,9721597231.010569,487326.6231687857,88910902.78445081,35503609.65859869,10882237.070881,128758436.72742732,80086652441.35,26658495.860151906,884246399.1238804,718841696.7637094,88260763.00792822,470645952.7933046,823824857.1191865,14472.992735501535,259735349.5454706,85399955.27287893,133901336.73055913,943052408.7790744,584047674.4997821,832872953.7546498,89669821.63429601,9536329926.654024,100906899.11128213,30938754.214904927,7632042.34038337,6686770709.90785,3.402823669209383e+20,9933289.806971189,84490665.98566501,158333067.32061654,85230205.78358331,132591937.3428992,199165095.8059495,102170101.73251334,878784677.8293353,886763831.6285844,215546495.26815975,9532589606.800283,1.1579208923731621e+71,55009605.110292494,7966519507.681085,954881336.9037206,31017856.15573383,930846843.6013768,2762222854.1130834,85647409155.8794,912411680.41,93242053.983222,1248490.9201242866,7823.436704986919,1078269.827362504,1471727767.938473,67329533.12705216,116357739.07405911,13978396.198996156,1931031.0980003905,466330.8082174202,33417852875.245644,16866.488770606167,47153893.550124325,971409.6951032052,257610.17644318545,96414250.17597,778087777.5678253,978107055.3296738,7944538.392164823,22980958.042296726,435449329.9361,113743187.3394036,54355441.74227557
2023-05-10 00:00:00+00:00,526071369.2576277,9232590.125037229,508213031.0580772,76252372.96104647,626697142.6971542,43353557.62923146,320000000.0,1609098.11373276,9721585596.283297,487834.2765041886,88868266.5126338,35503609.65859869,10882237.070881,128787305.44910876,80086652441.35,26627946.026258662,884523442.2185776,718853606.3179573,88330962.48822331,471187458.6944888,823320102.5174029,14496.519938759431,259690673.42546117,85397998.27287893,133835296.97377646,942921492.3967016,584119344.6661954,818665741.0284297,89824809.18045947,9533545444.659338,100867378.94450812,30947638.110035423,7636262.66277855,6689156391.228243,3.402823669209383e+20,9932411.014728876,84465935.77936292,158327149.45952955,85219449.7993234,132600946.37378448,199165095.8059495,103081678.87273252,878691279.1201676,886753871.5685843,214837042.96150175,9501304964.687792,1.1579208923731621e+71,55009605.110292494,8317776958.340178,956011194.0894748,31174973.58753182,930846843.6013768,2762380875.0384636,85647409155.8794,912411680.41,93242053.983222,1246410.461176833,7823.436704986919,1083414.617362484,1472419523.9189434,67319781.36955017,116356880.21369168,14099976.453727769,1932047.3333784267,466695.49727262504,33417852875.245644,16866.944659605917,47261864.60407498,972858.7002211352,257607.5240431854,96423822.05887784,778087777.5678253,978108725.3574944,7944538.392164823,22980958.042296726,434819060.5596,113743187.3394036,54304361.32112791
2023-05-11 00:00:00+00:00,526069769.2576277,9237156.288415274,508213031.0580772,76320392.54619205,626693768.348976,43413610.14620396,320000000.0,1609098.11373276,9721543778.10148,487963.0556334777,88823820.1392917,35503609.65859869,10882237.070881,128346099.70741504,80086652441.35,26637524.83263428,885626461.4843924,718853819.8215483,88654913.29487069,471187458.6944888,824296433.938295,14609.97853248739,259664093.65201116,85391279.92281012,133864352.44529831,943118496.402982,584064137.090611,827350671.0271955,89817993.00044726,9542092049.618158,101063513.64727344,31018331.163235765,7635829.31202274,6687136573.762414,3.402823669209383e+20,9933591.041397594,84435855.46406099,158341435.29880384,85211759.37317052,132599666.37378448,199087318.02594948,102531872.51777002,878646307.1411848,886734956.6623644,215812226.4830932,9474729186.683514,1.1579208923731621e+71,55009605.110292494,8317977374.023326,953767297.517832,31004017.720082007,930846843.6013768,2761585371.5717635,85647543023.8064,912411680.41,93228334.09791575,1247923.3058333723,7823.436704986919,1084702.6873624737,1472718757.3411846,67349372.48765162,115059533.34728044,14120343.049726788,1898244.6664299292,468134.317223505,33572756907.743267,16726.927318938884,47253933.549263105,972691.8966704152,257645.43189060444,96428523.07128768,778075582.5678253,978108725.3574944,7944825.754443327,22980786.410835955,435036888.4559,113742979.76641336,54371167.98006304
2023-05-12 00:00:00+00:00,526068569.2496177,9232259.284029068,508213031.0580772,76221411.16725011,626688325.1342194,43455988.01581066,320000000.0,1609098.11373276,9721497778.10148,489316.2862628498,88864012.92466652,35505709.65859869,10882237.070881,128616011.99424392,80086652441.35,26580814.10545786,885760851.1731274,718877808.7955251,88470508.49662662,471187458.6944888,824052956.1071261,14576.829367111255,259797063.25291163,84508346.89984335,133825080.10972203,943233063.3105704,583961359.9102935,827823482.4671954,89941912.65860842,9516618460.90431,101314457.16579486,31026073.686102897,7631148.36545406,6681359590.715433,3.402823669209383e+20,9933591.041397594,84453892.78960367,158315073.80373123,85217562.54644117,132607793.2628518,199532277.5849495,102443516.08472624,878623815.0693154,886140888.7492052,217996431.9530022,9452042770.335104,1.1579208923731621e+71,54878422.77325986,8317977374.023326,954202547.9653044,30913926.261498574,930846843.6013768,2765100763.007721,85647366451.56252,911411680.41,93228334.09791575,1246074.198152924,7823.436704986919,1084749.6873624737,1473277846.2407036,67324045.93675944,116659667.36778042,14200420.281086566,1895702.5343269908,464783.36396609567,33674227169.412064,16766.257003359635,47314989.93908538,971462.9704402052,257268.79257940507,96207650.33601056,778070684.758064,978150871.1248432,7944825.754443327,22957693.494592465,434911522.07329994,113742979.76641336,54428344.29365084
2023-05-13 00:00:00+00:00,526068569.2496177,9233882.134607231,508213031.0580772,76212975.25924893,626685456.6874608,43431864.83315044,320000000.0,1609098.11373276,9721442584.646933,488832.56221931486,88844149.82599126,35506524.46349161,10882237.070881,128797761.25193603,80086652441.35,26578633.567986753,885062551.473851,718902401.0373025,88482536.12475587,471169457.4044888,824587794.8133634,14581.52339369978,259794613.55598176,84452672.60368967,133793939.9046807,942929935.2110188,584134994.9409447,827818736.8364905,89958354.11069697,9513134634.503496,101649181.74961612,31076345.606962472,7629076.48710525,6685941690.949052,3.402823669209383e+20,9933591.041397594,84500081.7833204,158321063.42487153,85220614.19848335,132607793.1981057,199532277.5849495,102596473.7482256,878623770.3119874,886140888.7492052,217717421.30532065,9456502757.790035,1.1579208923731621e+71,54830619.26721579,8389762169.547127,954493492.4438572,30995581.406982657,931324243.005102,2764513762.402189,85647383630.95425,911411680.41,93228334.09791575,1246076.3477366646,7823.436704986919,1084749.6873624737,1473690372.2403352,67323367.50772637,116657782.39604338,14216010.403784188,1894755.8457645385,468105.0448845157,33674227169.412064,16743.3062261906,47303453.01966984,971962.8163187652,257160.37382564193,96187486.85921106,778072458.0163122,978165749.965618,7944825.754443327,22956766.936927065,435061039.18169993,113742565.36985298,54397897.71748677
2023-05-14 00:00:00+00:00,526068569.2496177,9216979.463340154,508213031.0580772,76056969.1593075,626683168.4516023,43435751.97835525,320000000.0,1609098.11373276,9721364251.3136,489345.3356028471,88842629.78031239,35506524.46349161,10882237.070881,129071219.65518592,80086652441.35,26565565.134620797,885356125.2712629,723594332.4001231,88521534.67437202,471169457.4044888,824423922.2932203,14569.465429017018,259765375.0226224,85247319.81993969,133767917.32952616,942967087.4519464,584300724.6355245,827735138.5267477,89968252.7217935,9516827985.061665,101530647.72874776,31082496.93361208,7627742.55205635,6684924848.349837,3.402823669209383e+20,9933547.378110755,84489979.77644403,158318532.14130813,85217536.65843327,132561934.81106064,199520055.35494947,102597346.2505194,878581462.43341,885028967.3933866,219414403.8019425,9440617069.3182,1.1579208923731621e+71,54830619.26721579,8390681251.366418,954614336.2816044,31263704.678391736,931324243.005102,2764394083.982353,85647383630.95425,911411680.41,93770664.83091576,1246009.9982078937,7829.282104355657,1092159.5473624738,1475601607.4726324,67327670.6538666,116657782.39604338,14216171.633357486,1894449.333491409,468121.56373750005,33658673967.29106,16766.257003359635,47269944.02353824,972544.6958997552,257225.64796483808,96198681.46757248,778022458.0163122,978193867.7317672,7937841.48525531,22956766.936927065,435061039.18169993,113738275.29282854,54406859.463463426
2023-05-15 00:00:00+00:00,526067769.2496177,9222020.560944542,507699631.0580772,75993448.91846676,626681254.131798,43468849.89830474,320000000.0,1609098.11373276,9721328997.495417,492207.2930731895,88847953.46341242,35507512.466732845,10882237.070881,129180138.87144975,80086652441.35,26572264.68205227,886682816.0206765,723550150.8716273,88280232.43179885,471166886.6244888,823850789.5404794,14870.769917620788,259758493.0031705,85241843.72594897,133624459.86392511,942821762.0520848,584529461.0684018,827735138.5267477,89970057.23481806,9512801353.451084,101518245.60414591,31033409.365694836,7627674.36063194,6684905278.307011,3.402823669209383e+20,9933547.378110755,84455806.23163968,158312920.90437517,85228509.33176,132582171.18626843,196900044.4507005,102579481.89489505,878581462.43341,884648360.0140828,218802431.11301568,9447787357.136703,1.1579208923731621e+71,54753299.18977839,8390710485.2556,954366127.2477332,31112065.044903528,930849418.005102,2764783406.121353,85647441180.05219,911411680.41,93972683.23677894,1246374.6904042007,7829.282104355657,1090168.5473624738,1476158307.8913784,67307261.72669706,116656159.43839435,14188365.852391988,1892351.75822634,468197.69904643006,33658617357.560516,16766.257003359635,47261536.00003706,972517.128025845,257047.71060077264,96200309.51944524,778022458.0163122,978170743.7529548,7937741.48525531,22954929.842912175,435054910.072,113735706.10014664,54414501.21755679
2023-05-16 00:00:00+00:00,526067769.2496177,9230150.136721903,507699631.0580772,75966211.21636793,626523553.7715087,43549784.601127125,320000000.0,1609098.11373276,9721314452.04087,492143.8793231313,88856422.02747221,35507512.466732845,10882237.070881,128645365.09716284,80086652441.35,26592849.175646372,877224478.8762922,723575997.4976563,88403980.37142465,471165555.9344888,823732095.17966,14872.189540297117,259701125.22059548,85239799.72594897,133481237.05448896,942488550.8664874,584557361.6394571,827571278.7328533,89960495.40978545,9512944232.283564,101518770.64391814,31075059.411795445,7627220.00306172,6692909360.505147,3.402823669209383e+20,9933654.648110757,83815550.36240907,158284754.00079584,85229816.19694996,132570997.347265,196900044.4507005,102700725.62534684,878581462.43341,884648360.0148029,219274832.84185648,9446795307.45432,1.1579208923731621e+71,54753299.18977839,8392856193.914883,954928643.9129866,31168479.78642489,930852176.8651756,2764402107.1913533,85647534963.22893,911411680.41,93972683.23677894,1203857.2638117005,7829.282104355657,1090168.5473624738,1476079307.9852026,67300974.30255565,116599645.50740165,14237011.911353596,1905006.3302673912,468860.1374434301,33681465908.934517,16383.778809932848,47327481.343433216,973010.9006430228,257330.06080697384,96165045.61053184,778100704.8542688,978170743.7529548,7937117.887547687,22954929.842912175,435004968.517,113735706.10014664,54523551.84075991
