datetime,uniswap_whale_transaction_count_100k_usd_to_inf,maker_whale_transaction_count_100k_usd_to_inf,lido-dao_whale_transaction_count_100k_usd_to_inf,frax-share_whale_transaction_count_100k_usd_to_inf,dydx_whale_transaction_count_100k_usd_to_inf,balancer_whale_transaction_count_100k_usd_to_inf,bancor_whale_transaction_count_100k_usd_to_inf,chainlink_whale_transaction_count_100k_usd_to_inf,ondo-finance_whale_transaction_count_100k_usd_to_inf,aave_whale_transaction_count_100k_usd_to_inf,ethena_whale_transaction_count_100k_usd_to_inf,injective-protocol_whale_transaction_count_100k_usd_to_inf,frax_whale_transaction_count_100k_usd_to_inf,1inch_whale_transaction_count_100k_usd_to_inf,convex-finance_whale_transaction_count_100k_usd_to_inf,0x_whale_transaction_count_100k_usd_to_inf,stargate-finance_whale_transaction_count_100k_usd_to_inf,yearn-finance_whale_transaction_count_100k_usd_to_inf,crvusd_whale_transaction_count_100k_usd_to_inf,sushi_whale_transaction_count_100k_usd_to_inf,loopring_whale_transaction_count_100k_usd_to_inf,clearpool_whale_transaction_count_100k_usd_to_inf,uma_whale_transaction_count_100k_usd_to_inf,orbs_whale_transaction_count_100k_usd_to_inf,api3_whale_transaction_count_100k_usd_to_inf,rocket-pool_whale_transaction_count_100k_usd_to_inf,tellor_whale_transaction_count_100k_usd_to_inf,numeraire_whale_transaction_count_100k_usd_to_inf,liquity_whale_transaction_count_100k_usd_to_inf,magic-internet-money_whale_transaction_count_100k_usd_to_inf,liquity-usd_whale_transaction_count_100k_usd_to_inf,ampleforth_whale_transaction_count_100k_usd_to_inf,hashflow_whale_transaction_count_100k_usd_to_inf,badger-dao_whale_transaction_count_100k_usd_to_inf,harvest-finance_whale_transaction_count_100k_usd_to_inf
2023-05-06 00:00:00+00:00,6.0,4.0,23.0,4.0,6.0,0.0,1.0,29.0,0.0,5.0,0.0,6.0,8.0,2.0,0.0,0.0,8.0,2.0,0.0,8.0,1.0,0.0,12.0,0.0,1.0,2.0,0.0,1.0,8.0,3.0,13.0,0.0,0.0,4.0,0.0
2023-05-07 00:00:00+00:00,13.0,18.0,26.0,2.0,6.0,2.0,1.0,17.0,0.0,7.0,0.0,5.0,6.0,1.0,9.0,0.0,6.0,1.0,0.0,11.0,0.0,0.0,15.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,2.0,0.0,4.0,0.0
2023-05-08 00:00:00+00:00,42.0,24.0,87.0,28.0,14.0,2.0,0.0,77.0,0.0,39.0,0.0,0.0,41.0,10.0,1.0,1.0,16.0,2.0,0.0,9.0,3.0,0.0,16.0,0.0,1.0,7.0,0.0,1.0,4.0,0.0,72.0,0.0,5.0,3.0,0.0
2023-05-09 00:00:00+00:00,11.0,16.0,109.0,7.0,11.0,3.0,1.0,53.0,0.0,18.0,0.0,0.0,15.0,10.0,9.0,0.0,2.0,14.0,0.0,3.0,2.0,5.0,7.0,4.0,1.0,17.0,0.0,0.0,4.0,2.0,58.0,0.0,4.0,0.0,0.0
2023-05-10 00:00:00+00:00,9.0,5.0,53.0,22.0,12.0,2.0,2.0,51.0,0.0,14.0,0.0,0.0,35.0,9.0,11.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,81.0,3.0,4.0,1.0,2.0
2023-05-11 00:00:00+00:00,4.0,5.0,38.0,33.0,7.0,2.0,2.0,58.0,0.0,12.0,0.0,4.0,49.0,6.0,35.0,1.0,8.0,11.0,0.0,1.0,0.0,2.0,4.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0,22.0,0.0,6.0,3.0,0.0
2023-05-12 00:00:00+00:00,23.0,5.0,113.0,16.0,12.0,11.0,0.0,39.0,0.0,10.0,0.0,4.0,25.0,12.0,12.0,1.0,11.0,9.0,0.0,7.0,3.0,0.0,8.0,3.0,1.0,24.0,0.0,0.0,1.0,0.0,53.0,0.0,3.0,0.0,0.0
2023-05-13 00:00:00+00:00,13.0,22.0,38.0,6.0,3.0,4.0,0.0,34.0,0.0,7.0,0.0,0.0,19.0,3.0,5.0,0.0,6.0,5.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,53.0,0.0,3.0,0.0,0.0,16.0,0.0,3.0,0.0,2.0
2023-05-14 00:00:00+00:00,9.0,11.0,22.0,7.0,2.0,6.0,0.0,23.0,0.0,4.0,0.0,0.0,12.0,5.0,6.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
2023-05-15 00:00:00+00:00,27.0,15.0,113.0,10.0,5.0,2.0,0.0,54.0,0.0,14.0,0.0,0.0,22.0,2.0,14.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,0.0,0.0,2.0,0.0,19.0,0.0,7.0,1.0,1.0
2023-05-16 00:00:00+00:00,28.0,22.0,124.0,14.0,5.0,2.0,0.0,61.0,0.0,18.0,0.0,7.0,12.0,46.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,37.0,0.0,0.0,2.0,8.0,14.0,0.0,1.0,1.0,0.0
2023-05-17 00:00:00+00:00,30.0,4.0,124.0,12.0,17.0,14.0,0.0,49.0,0.0,18.0,0.0,0.0,28.0,57.0,15.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,116.0,2.0,0.0,0.0,6.0
2023-05-18 00:00:00+00:00,52.0,6.0,79.0,11.0,9.0,7.0,1.0,85.0,0.0,46.0,0.0,5.0,27.0,37.0,59.0,2.0,24.0,9.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,49.0,2.0,1.0,0.0,18.0
2023-05-19 00:00:00+00:00,16.0,3.0,47.0,5.0,5.0,6.0,9.0,66.0,0.0,52.0,0.0,5.0,28.0,10.0,9.0,2.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,0.0,23.0,2.0,3.0,0.0,2.0
2023-05-20 00:00:00+00:00,22.0,0.0,12.0,8.0,4.0,3.0,3.0,55.0,0.0,18.0,0.0,7.0,31.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,3.0,8.0,43.0,0.0,8.0,1.0,0.0
2023-05-21 00:00:00+00:00,21.0,0.0,12.0,6.0,8.0,4.0,1.0,51.0,0.0,4.0,0.0,6.0,11.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,10.0,0.0,3.0,0.0,0.0
2023-05-22 00:00:00+00:00,26.0,9.0,24.0,11.0,1.0,0.0,1.0,73.0,0.0,5.0,0.0,5.0,23.0,1.0,7.0,1.0,7.0,5.0,0.0,9.0,2.0,0.0,2.0,1.0,1.0,12.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,1.0,11.0
2023-05-23 00:00:00+00:00,32.0,6.0,20.0,7.0,13.0,0.0,0.0,46.0,0.0,5.0,0.0,2.0,25.0,8.0,11.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,3.0,0.0,70.0,0.0,0.0,1.0,6.0
2023-05-24 00:00:00+00:00,35.0,11.0,76.0,6.0,8.0,5.0,1.0,71.0,0.0,7.0,0.0,0.0,28.0,3.0,26.0,0.0,2.0,11.0,0.0,6.0,1.0,0.0,3.0,1.0,3.0,7.0,0.0,0.0,4.0,50.0,60.0,6.0,2.0,0.0,3.0
2023-05-25 00:00:00+00:00,24.0,5.0,46.0,1.0,10.0,9.0,0.0,40.0,0.0,9.0,0.0,12.0,45.0,9.0,27.0,0.0,6.0,8.0,0.0,15.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,2.0,27.0,0.0,0.0,0.0,4.0
2023-05-26 00:00:00+00:00,20.0,1.0,51.0,6.0,12.0,3.0,0.0,41.0,0.0,34.0,0.0,14.0,17.0,4.0,5.0,0.0,7.0,9.0,0.0,12.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,7.0,3.0,24.0,2.0,3.0,0.0,19.0
2023-05-27 00:00:00+00:00,31.0,0.0,14.0,0.0,0.0,0.0,1.0,12.0,0.0,24.0,0.0,1.0,8.0,4.0,15.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,15.0,11.0,3.0,20.0,0.0,4.0,0.0,6.0
2023-05-28 00:00:00+00:00,31.0,4.0,37.0,6.0,0.0,1.0,0.0,26.0,0.0,14.0,0.0,1.0,20.0,2.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,17.0,0.0,9.0,0.0,5.0,0.0,2.0
2023-05-29 00:00:00+00:00,27.0,4.0,89.0,5.0,9.0,2.0,0.0,38.0,0.0,6.0,0.0,1.0,18.0,7.0,4.0,1.0,7.0,2.0,0.0,7.0,0.0,0.0,3.0,1.0,1.0,12.0,0.0,3.0,7.0,4.0,44.0,0.0,1.0,0.0,2.0
2023-05-30 00:00:00+00:00,21.0,2.0,68.0,10.0,8.0,5.0,0.0,52.0,0.0,12.0,0.0,1.0,32.0,3.0,14.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,30.0,0.0,2.0,0.0,0.0
